epoch,KF_E_m,KF_N_m,KF_U_m,KF_nobias_E_m,KF_nobias_N_m,KF_nobias_U_m,Single_E_m,Single_N_m,Single_U_m,C1_sat_count,C2_sat_count,L1_sat_count,L2_sat_count,ref_sat,condition,block_mode,R_diff_diag_coeff,R_diff_offdiag_coeff
11,-0.366539040925422,0.0106102672524426,0.010382726060557,-0.356021834441081,0.0454779347885545,-0.0311514501481754,-0.276011176639339,0.0547143191082737,-0.311270167897404,8,8,8,8,23,normal,sector,4,2
12,-0.38216329839026,0.0145663910216762,0.00980933171200595,-0.370689982225525,0.0526038465156164,-0.0355006786975203,-0.248285325982426,0.0901055918599599,-0.30332556315047,8,8,8,8,23,normal,sector,4,2
13,-0.406181301088824,0.0157579404736468,0.0110140240292872,-0.393751875243694,0.0569651839254153,-0.0380718205810329,-0.302964216740249,-0.0022213822046579,-0.171472553454163,8,8,8,8,23,normal,sector,4,2
14,-0.424677749999652,0.0175669016614141,0.0107191239521371,-0.411292214474127,0.061943933071011,-0.0421425548589769,-0.317084986158304,-0.0231448082637121,-0.0698499887967537,8,8,8,8,23,normal,sector,4,2
15,-0.440839443999094,0.0188275657924828,0.0124915653403576,-0.426497798793175,0.066374385159908,-0.0441459476715502,-0.389204414935214,-0.0164851620698579,-0.104592647088193,8,8,8,8,23,normal,sector,4,2
16,-0.468948405577918,0.0220276882683973,0.0127682444932146,-0.453650650691604,0.0727442955936509,-0.047645102719487,-0.377005097361275,0.0584705811346391,-0.352050933489605,8,8,8,8,23,normal,sector,4,2
17,-0.49384264188336,0.0245084090345763,0.0108665132418793,-0.477588777316651,0.0783948043176582,-0.0533226681716162,-0.373948973844985,0.11533616973399,-0.358933026094483,8,8,8,8,23,normal,sector,4,2
18,-0.504266623801723,0.027720122763209,0.0105892946791143,-0.48705664955462,0.0847763060041193,-0.0573757209351751,-0.377625283342887,0.168507525669906,-0.365204545193152,8,8,8,8,23,normal,sector,4,2
19,-0.51708279066963,0.029697644190722,0.00994116764581088,-0.498916706742132,0.0899236153894606,-0.0617996821692723,-0.428485612204695,0.0611959938845595,-0.243236895080244,8,8,8,8,23,normal,sector,4,2
20,-0.532205283249994,0.0300023594121979,0.00918902057052543,-0.513083089642102,0.0933981185687649,-0.0663276634453517,-0.477712975675184,0.0231880429970102,-0.124874473640703,8,8,8,8,23,normal,sector,4,2
21,-0.544993616449717,0.0323023427047322,0.00886807845115373,-0.52491531316143,0.0988678898191276,-0.0704244397655172,-0.436978811146519,0.0380257192934539,-0.0489235635767286,8,8,8,8,23,normal,sector,4,2
22,-0.554549925387783,0.0320678944406022,0.00846568726633298,-0.533515512419102,0.101803229512826,-0.0746026651511318,-0.434509024703762,-0.00742882078125259,0.0516009721146511,8,8,8,8,23,normal,sector,4,2
23,-0.575061456667358,0.0296401647645734,0.00878148151036094,-0.553070934018282,0.102545287794625,-0.0780627051078977,-0.43016344697979,-0.020141640628246,0.0603451653215458,8,8,8,8,23,normal,sector,4,2
24,-0.612380414234799,0.0315712268680076,0.00863634444114152,-0.589433781905329,0.107646137855888,-0.081983676377911,-0.359675085662296,-0.00883451569631744,0.213349778053307,8,8,8,8,23,normal,sector,4,2
25,-0.636443586146479,0.0341985991002408,0.00651033828786497,-0.612540844136614,0.11344329804595,-0.0878855167319814,-0.410259969269343,0.0335890444044585,0.20848287544761,8,8,8,8,23,normal,sector,4,2
26,-0.660176577879848,0.0386101595481626,0.00423888433720319,-0.635317726189588,0.1210246464517,-0.093932804883437,-0.491104693228962,0.0764475027730706,0.0859400446398755,8,8,8,8,23,normal,sector,4,2
27,-0.684944152520058,0.0414484995062683,0.00141257067546812,-0.659129191149403,0.127032774367634,-0.100534952745966,-0.600654178672098,0.018334396069676,0.131412914852039,8,8,8,8,23,normal,sector,4,2
28,-0.70689400281809,0.041596763310573,0.00120076309863792,-0.680122931767041,0.130350826129767,-0.10452259452359,-0.570982457937904,0.0346521474026186,0.0345131370847058,8,8,8,8,23,normal,sector,4,2
29,-0.724626183539436,0.0426884574888859,-0.0012061287686712,-0.696899002807993,0.134612308265908,-0.110705320591693,-0.570751855506883,0.0164191702666435,0.0226061994142331,8,8,8,8,23,normal,sector,4,2
30,-0.738211173104895,0.0471192499545765,-0.00425289647823629,-0.709527882693057,0.142212888689427,-0.117527922502052,-0.54040504991048,0.0187659154151489,-0.0561737730782794,8,8,8,8,23,normal,sector,4,2
31,-0.754931954261445,0.0494072332473619,-0.00736054080135233,-0.725292554169212,0.147670659940041,-0.124411401025962,-0.584082629767516,0.0295705113577828,-0.0408361351661543,8,8,8,8,23,normal,sector,4,2
32,-0.776760499837731,0.053595211213113,-0.00798149603895428,-0.746164990065103,0.15502842586362,-0.128808190464358,-0.655202564853878,-0.0128313670637998,0.0426484965634675,8,8,8,8,23,normal,sector,4,2
33,-0.795752021847992,0.0559620807914831,-0.0086158896944113,-0.76420040239497,0.160565083399819,-0.133218418320608,-0.715635173219401,-0.00820932005529455,-0.0392476181263242,8,8,8,8,23,normal,sector,4,2
34,-0.812292639878697,0.059820298434318,-0.00670649913250043,-0.77978491074528,0.167593089000482,-0.135084861959491,-0.771302419673804,0.0649550894730961,-0.0466796576023463,8,8,8,8,23,normal,sector,4,2
35,-0.82789917649207,0.0619458776792231,-0.00465863539567143,-0.794435337678259,0.172888456203215,-0.136812832423456,-0.818330324818899,0.151517013937422,-0.092678657462865,8,8,8,8,23,normal,sector,4,2
36,-0.837430937942755,0.0642107968268821,-0.00707767307660082,-0.80301098944855,0.178323163308703,-0.14300770430518,-0.761875202249581,0.180011311885506,-0.168504014860716,8,8,8,8,23,normal,sector,4,2
37,-0.853785397150191,0.0647909949502211,-0.00744452864869231,-0.818409338975591,0.18207314938987,-0.147150394078065,-0.696955057933842,0.16654472718423,-0.26124140504713,8,8,8,8,23,normal,sector,4,2
38,-0.870741426179725,0.0644872812368428,-0.00695357379876641,-0.83440925832473,0.18493922363432,-0.150435273428933,-0.73226105462031,0.0792687357614874,-0.151901885379166,8,8,8,8,23,normal,sector,4,2
39,-0.881092606905243,0.0657016127819163,-0.00719322027394723,-0.843804329369854,0.189323343137222,-0.154450754104908,-0.7533508416253,-0.0208955361013647,-0.11795169477977,8,8,8,8,23,normal,sector,4,2
40,-0.891403864780985,0.0663466289921508,-0.00839756837087407,-0.853159477565201,0.193138147305285,-0.159430936402628,-0.791040257044198,-0.0424399933487153,-0.104148842120914,8,8,8,8,23,normal,sector,4,2
41,-0.900329219957697,0.0669184136447621,-0.0091354428638189,-0.861128723061518,0.196879719915724,-0.163944645096367,-0.797697912305062,-0.168646536306057,-0.0304384508134493,8,8,8,8,23,normal,sector,4,2
42,-0.909164499730066,0.0689482025394265,-0.00916538317861808,-0.869007893153493,0.202079296768217,-0.16775041961196,-0.787335972290887,-0.1860757666008,0.0595947641735766,8,8,8,8,23,normal,sector,4,2
43,-0.917541499053707,0.0691669289890502,-0.00971627643401612,-0.876428782796739,0.205467811175669,-0.172077147068152,-0.78763623110694,-0.196278054041172,0.0645924421686537,8,8,8,8,23,normal,sector,4,2
44,-0.928502893665426,0.0690720253089991,-0.00945545756427775,-0.886434067728064,0.208542695453447,-0.175592162399207,-0.809466532556128,-0.268716745080871,0.208970066536276,8,8,8,8,23,normal,sector,4,2
45,-0.941151135410689,0.0675971555265238,-0.00921217971586214,-0.898126199792932,0.2102376136288,-0.179124718751586,-0.813890100622448,-0.314828831902108,0.314858256175541,8,8,8,8,23,normal,sector,4,2
46,-0.950474674727707,0.0663999604318196,-0.00875088407924057,-0.906493629429555,0.212210206491924,-0.182439257315758,-0.819047093919514,-0.272906936848507,0.253520411481711,8,8,8,8,23,normal,sector,4,2
47,-0.966203849663877,0.0675432517666103,-0.00901329121192178,-0.92126669468533,0.216523285784543,-0.186477498649233,-0.809930772997367,-0.25611177416291,0.328917841547054,8,8,8,8,23,normal,sector,4,2
48,-0.984754126044316,0.0663337481264723,-0.00636431238424227,-0.938860861385375,0.218483570102233,-0.187604354022347,-0.765318365448244,-0.208432622946362,0.297687535840041,8,8,8,8,23,normal,sector,4,2
49,-0.993626526610055,0.0663509841205172,-0.00760403521507261,-0.946777152270719,0.221670594054106,-0.192619911053971,-0.747267425173676,-0.188574428330122,0.254443216205374,8,8,8,8,23,normal,sector,4,2
50,-1.00557801858853,0.067062735137216,-0.00872799244523754,-0.957772534568804,0.225552133028634,-0.19751970248493,-0.720666604339214,-0.130951566754215,0.327918250810891,8,8,8,8,23,normal,sector,4,2
51,-1.013891766134,0.0676886531712395,-0.00899951478052059,-0.965130172433876,0.229347839020485,-0.201567059021007,-0.780405090453463,-0.148291620950881,0.285978495536961,8,8,8,8,23,normal,sector,4,2
52,-1.02302867673734,0.0678659303359252,-0.00983187846874643,-0.97331097335682,0.232694904142999,-0.206175256910027,-0.82436806659281,-0.145251092034602,0.23170069691496,8,8,8,8,23,normal,sector,4,2
53,-1.03117085062242,0.0678245570864167,-0.0108304694396364,-0.980497037561505,0.235823318851319,-0.210949682081711,-0.847849232752201,-0.183382494871535,0.192544281341149,8,8,8,8,23,normal,sector,4,2
54,-1.03914244885522,0.0679299221058281,-0.0106685481296561,-0.987512526113916,0.239098471828559,-0.214563594972524,-0.827139199434152,-0.200148322025532,0.319417587108504,8,8,8,8,23,normal,sector,4,2
55,-1.04835525669097,0.0687706610132748,-0.010996635150566,-0.99576922426927,0.243108998693834,-0.218667516194228,-0.889228704784463,-0.230540826857389,0.358849988622001,8,8,8,8,23,normal,sector,4,2
56,-1.06002456817189,0.0698383365547192,-0.00985411348167557,-1.00648242606979,0.247346462193107,-0.221300828726131,-0.865239368784902,-0.255411846783367,0.431679630358639,8,8,8,8,23,normal,sector,4,2
57,-1.06951724815518,0.0693310364398239,-0.0082028634576257,-1.01501899637269,0.25000895003604,-0.223425412902875,-0.830344077670574,-0.299613635772945,0.603888108381711,8,8,8,8,23,normal,sector,4,2
58,-1.07936579480844,0.0695366327937107,-0.00533121066051321,-1.02391143334556,0.253384334347755,-0.224329594306557,-0.882962017399011,-0.324298627154938,0.628058741330404,8,8,8,8,23,normal,sector,4,2
59,-1.08307015027621,0.0704852974432428,-0.00461709755090417,-1.02665967913293,0.257502786955116,-0.227391315397742,-0.867028733886708,-0.24350051085511,0.497826196533643,8,8,8,8,23,normal,sector,4,2
60,-1.08929953345195,0.0702115954297123,-0.00451503493299006,-1.03193295262827,0.260398872899413,-0.231065086980621,-0.813951234334093,-0.163344608118838,0.300779485139391,8,8,8,8,23,normal,sector,4,2
61,-1.10174762043787,0.0724483980632926,-0.00387783181777421,-1.0434249299338,0.265805463490822,-0.234203718066199,-0.780512307539019,-0.111396700415766,0.246989343024222,8,8,8,8,23,normal,sector,4,2
62,-1.1303937778488,0.0768205197705559,-0.00654758777034887,-1.07111497766434,0.273347373155914,-0.240649308219568,-0.903843594014019,-0.0526510126083344,0.230008509926565,8,8,8,8,23,normal,sector,4,2
63,-1.14842080206134,0.0758671719793197,-0.00478313778977388,-1.08818589219648,0.275563813322506,-0.242660692439787,-1.01816147057319,-0.188723817972069,0.451134278136235,8,8,8,8,23,normal,sector,4,2
64,-1.1648929616933,0.0767775967922684,-0.00333365709045621,-1.10370194214804,0.279644026093283,-0.244987045941263,-1.1739217195516,-0.289893812756467,0.758642866121772,8,8,8,8,23,normal,sector,4,2
65,-1.17071776291081,0.0773560588625702,-0.00339362090655185,-1.10857063368516,0.283392276121413,-0.248822843958152,-1.2090109233299,-0.310217802244222,0.85004008775663,8,8,8,8,23,normal,sector,4,2
66,-1.18321048694825,0.0770423547520248,-0.0024107452982068,-1.1201072480422,0.286248359968696,-0.251615802550601,-1.27070391855321,-0.401460297121576,0.964383852254619,8,8,8,8,23,normal,sector,4,2
67,-1.19821902090603,0.0770312932299494,-0.000965740028307113,-1.1341596723196,0.289407086404449,-0.253946631481495,-1.20303427706378,-0.242196434548129,0.532768834333099,8,8,8,8,23,normal,sector,4,2
68,-1.20578444692967,0.0769020038357161,-0.00231932622455353,-1.14076898866284,0.292447584968044,-0.259076051878535,-1.13498281515549,-0.120375139377618,0.179990608614174,8,8,8,8,23,normal,sector,4,2
69,-1.21444746411337,0.078518536414574,-0.00607849897346324,-1.14847589616614,0.29723390550473,-0.266611058828239,-1.07141163959983,-0.0876773898998885,0.00377573407361731,8,8,8,8,23,normal,sector,4,2
70,-1.22280578589479,0.0800060971602549,-0.00835488078194765,-1.15587810826717,0.301891254208239,-0.272663274837517,-1.06723382457344,-0.114863964699818,0.195109716507066,8,8,8,8,23,normal,sector,4,2
71,-1.23167310843973,0.0799822971859851,-0.00941976135404995,-1.16378932113171,0.305037242191798,-0.277503989610414,-1.10650958820986,-0.148271971604207,0.319641197524131,8,8,8,8,23,normal,sector,4,2
72,-1.23941031002129,0.0817606606128931,-0.00871945270506073,-1.17057041303288,0.309985393576534,-0.280579515162218,-1.12170207147625,-0.236868895904195,0.413059838072128,8,8,8,8,23,normal,sector,4,2
73,-1.24796032695685,0.0820554024826949,-0.00847078912776433,-1.17816432028804,0.313449923404165,-0.284106685785716,-1.16400837805569,-0.288400718158125,0.357268315858831,8,8,8,8,23,normal,sector,4,2
74,-1.25364022101247,0.0823580313361024,-0.00921374067406849,-1.18288810466327,0.3169223402154,-0.288625471532814,-1.18492870998515,-0.32942845176876,0.213726462294922,8,8,8,8,23,normal,sector,4,2
75,-1.26309014356575,0.0827094177427501,-0.00925826353356277,-1.19138191753615,0.320443514579876,-0.292445828593102,-1.24860813839191,-0.387105881363515,0.224491026434844,8,8,8,8,23,normal,sector,4,2
76,-1.27330536487612,0.0835197700556392,-0.00719997216218337,-1.20064102916613,0.324423654850594,-0.294163371422516,-1.28485416763889,-0.387915283607801,0.308728784736433,8,8,8,8,23,normal,sector,4,2
77,-1.27844505397052,0.0819645910548953,-0.00647279264203364,-1.20482460858013,0.326038263807678,-0.29721202610316,-1.1664154476302,-0.202130960218237,-0.109487534391508,8,8,8,8,23,normal,sector,4,2
78,-1.2829952958385,0.0834523246041957,-0.00488337244475207,-1.20841874076772,0.330695785314807,-0.299398440106673,-1.06243134346248,-0.105407076795244,-0.414740034546133,8,8,8,8,23,normal,sector,4,2
79,-1.29046664188249,0.0829562307800268,0.000271895941861035,-1.21493397713132,0.333369479448466,-0.298019005920853,-0.956165746328402,0.0895932472066541,-0.788038911440677,8,8,8,8,23,normal,sector,4,2
80,-1.30110831078748,0.0813843230819221,0.00338499128002107,-1.22461953635591,0.33496735970819,-0.298681744783487,-0.936511865707448,0.170195232964118,-0.917937418721269,8,8,8,8,23,normal,sector,4,2
81,-1.30697271613813,0.0816327898162334,0.00120402247065416,-1.22952783202617,0.33838561440033,-0.304638547793648,-0.896900500918132,0.224174545901937,-1.0680684899301,8,8,8,8,23,normal,sector,4,2
82,-1.31995351321175,0.0834839881763576,0.00213933867486055,-1.24155251941939,0.343406600718282,-0.307479065790235,-0.877480984271093,0.201932728621628,-1.10704598707801,8,8,8,8,23,normal,sector,4,2
83,-1.33287447314355,0.0841252713791498,0.000774417857467298,-1.2535173696708,0.347217671878903,-0.312619820808423,-0.968311837388035,0.0778939836327777,-0.980668338313675,8,8,8,8,23,normal,sector,4,2
84,-1.3484565397942,0.0840132898988206,-0.00135233868276507,-1.26814332664105,0.350275478356402,-0.318522411549449,-1.05681346192896,-0.0711571414548567,-0.430643405499311,8,8,8,8,23,normal,sector,4,2
85,-1.35718856333795,0.0851132774611091,-0.00307161553735751,-1.2759192405044,0.354545253876519,-0.324017522604835,-1.12297357636276,-0.154724043552767,-0.294982396274921,8,8,8,8,23,normal,sector,4,2
